retriever,pool_size,tasks,repeats,build_seconds,score_seconds_total,score_seconds_per_query,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,top1_error_rate,n,top1_accuracy_std_across_queries,hit@3_std_across_queries,hit@5_std_across_queries,hit@10_std_across_queries,recall@3_std_across_queries,recall@5_std_across_queries,recall@10_std_across_queries,mrr@10_std_across_queries,ndcg@10_std_across_queries
bm25,100,87,5,0.38870474999930593,0.027002299997548107,0.0003103712643396334,0.9057471264367816,0.960919540229885,0.9701149425287356,0.9839080459770115,0.7465900383141763,0.8147345374931582,0.8634154351395731,0.9356814449917898,0.848239707161692,0.09425287356321843,435,0.2921802001989429,0.1937864222134032,0.1702701994219881,0.1258292614565886,0.28494086043079314,0.2622346666422838,0.2248982730728367,0.20804423344780834,0.21604819742550277
bm25,1000,87,5,0.38870474999930593,0.027002299997548107,0.0003103712643396334,0.7379310344827587,0.8689655172413793,0.9057471264367816,0.9517241379310345,0.6230651340996168,0.687367268746579,0.7670607553366174,0.810597518700967,0.7165923552654002,0.26206896551724135,435,0.4397599604670306,0.3374380640751743,0.2921802001989429,0.21434855541958694,0.3587936212118363,0.33948261670674335,0.296570524825293,0.33206318787482636,0.297301393020016
bm25,10000,87,5,0.38870474999930593,0.027002299997548107,0.0003103712643396334,0.5678160919540229,0.6666666666666666,0.7149425287356321,0.8022988505747126,0.43075533661740556,0.4961576354679803,0.588215654077723,0.6368728334245576,0.5258695450713718,0.43218390804597706,435,0.4953796298517769,0.4714045207910317,0.45144181168865155,0.39826549554437624,0.3921018102510208,0.3983405957720955,0.38335757023326217,0.4342006010847309,0.35834468049357476
bm25,full,87,1,0.38870474999930593,0.027002299997548107,0.0003103712643396334,0.42528735632183906,0.5862068965517241,0.6436781609195402,0.6666666666666666,0.3594143404488232,0.3986863711001642,0.4492610837438424,0.513154533844189,0.4107264707058489,0.5747126436781609,87,0.49438650960015096,0.4925123054167483,0.47891187714941746,0.4714045207910317,0.379974955045118,0.3837390820462834,0.40100843611231635,0.4449742332036973,0.36857851678147086
bm25_lsa_rerank,100,87,5,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.5747126436781609,0.8160919540229885,0.8896551724137931,0.9333333333333333,0.5488669950738916,0.6751614668856049,0.7993322386425835,0.704688013136289,0.670138500093219,0.4252873563218391,435,0.49438650960015096,0.3874091849736257,0.3133190811476013,0.24944382578492943,0.37601470429140316,0.34861754515285465,0.29671637130075823,0.363079381142132,0.30109975975803127
bm25_lsa_rerank,1000,87,5,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.2827586206896552,0.4528735632183908,0.542528735632184,0.6804597701149425,0.28085933223864257,0.3569239189928845,0.473968253968254,0.39894544791096515,0.365272116791316,0.7172413793103448,435,0.45034007496040024,0.49777414452366747,0.49818802338627916,0.46629847884167724,0.3770148923400957,0.399102753457205,0.40982399269629266,0.4081524480886992,0.3514329086869584
bm25_lsa_rerank,10000,87,5,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.07126436781609195,0.17701149425287357,0.2482758620689655,0.3931034482758621,0.10577449370552819,0.1561247947454844,0.23635467980295566,0.15077905491698596,0.14684640744168645,0.9287356321839081,435,0.2572659279731086,0.3816784316086494,0.4320126831273331,0.4884394816448489,0.266408662081074,0.31975223170164224,0.35865244781398903,0.27108111241693755,0.24111755963636292
bm25_lsa_rerank,full,87,1,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.04597701149425287,0.10344827586206896,0.12643678160919541,0.21839080459770116,0.056896551724137934,0.07030651340996169,0.1361247947454844,0.08945904032110928,0.08603290812861693,0.9540229885057472,87,0.2094352546929724,0.3045434781492361,0.33234097229427495,0.4131540403588834,0.1920772999881566,0.21532038689472133,0.2998716519602242,0.23109602777300292,0.20044231948013255
hybrid_bm25_lsa,100,87,5,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.7655172413793103,0.9103448275862069,0.9517241379310345,0.9862068965517241,0.6541981390257252,0.7547071702244116,0.8807717569786535,0.845026455026455,0.7875903850344337,0.23448275862068968,435,0.4236751049215909,0.28568710589252383,0.21434855541958694,0.11663127258819146,0.33446069058597067,0.2977708812508238,0.21018308530304858,0.2906933079089759,0.24613407093676584
hybrid_bm25_lsa,1000,87,5,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.42758620689655175,0.639080459770115,0.7218390804597701,0.832183908045977,0.41503557744937053,0.49063492063492065,0.5948494800218939,0.5513665389527459,0.49230591110958266,0.5724137931034483,435,0.4947284533644401,0.4802672440528642,0.4480930956629031,0.37370289166034276,0.39686980352858586,0.3978803120994576,0.37793756788211436,0.41167182878344066,0.3481826255990207
hybrid_bm25_lsa,10000,87,5,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.17011494252873563,0.2942528735632184,0.37701149425287356,0.535632183908046,0.17317460317460318,0.23833059660645867,0.35730706075533664,0.26508392629082284,0.23987785722457827,0.8298850574712644,435,0.37573374729611475,0.4557061772271767,0.48463783122460535,0.4987287313459524,0.3196011232407256,0.3632157776251901,0.4018164170560993,0.3637852992997824,0.2922337982402753
hybrid_bm25_lsa,full,87,1,1.1051830840006005,0.1292263410105079,0.0014853602415000908,0.10344827586206896,0.1724137931034483,0.21839080459770116,0.3448275862068966,0.09493705528188287,0.13746579091406677,0.2196496989600438,0.159688013136289,0.1449798621361899,0.896551724137931,87,0.3045434781492361,0.37773969483114905,0.4131540403588834,0.47531202593414557,0.2431670550676565,0.3056929921655606,0.36082434195676777,0.30870264103844447,0.2570261539919359
lsa_dense,100,87,5,0.7164783340012946,0.10222404101295979,0.0011749889771604572,0.593103448275862,0.8298850574712644,0.8896551724137931,0.9287356321839081,0.5516037219485496,0.6788177339901478,0.7936617405582923,0.7179000182448458,0.6749907203262596,0.40689655172413797,435,0.4912552777519483,0.37573374729611475,0.3133190811476013,0.2572659279731086,0.36720830994591197,0.34846842614872026,0.3001505544008507,0.3609202024788137,0.3017774224801552
lsa_dense,1000,87,5,0.7164783340012946,0.10222404101295979,0.0011749889771604572,0.2413793103448276,0.43908045977011495,0.5310344827586206,0.6620689655172414,0.26392446633825944,0.34779967159277503,0.45109469074986314,0.36493979200875754,0.3377802081970047,0.7586206896551724,435,0.42791978089623645,0.4962749334977331,0.49903593145173913,0.4730049158477861,0.3649255640825463,0.39778917166818345,0.41076929097058285,0.39162705291544825,0.3401658871511134
lsa_dense,10000,87,5,0.7164783340012946,0.10222404101295979,0.0011749889771604572,0.07126436781609195,0.135632183908046,0.22298850574712645,0.3218390804597701,0.08908045977011494,0.13691844553913518,0.19801860974274768,0.1279182630906769,0.12397670745684067,0.9287356321839081,435,0.2572659279731086,0.34239756803514243,0.4162506841457323,0.4671816421356684,0.25492376826385227,0.2975648278062503,0.34035410194514787,0.265001357896397,0.23322343621876254
lsa_dense,full,87,1,0.7164783340012946,0.10222404101295979,0.0011749889771604572,0.04597701149425287,0.06896551724137931,0.06896551724137931,0.12643678160919541,0.04348659003831418,0.04348659003831418,0.06934865900383141,0.06412607188469258,0.051922932037091696,0.9540229885057472,87,0.2094352546929724,0.2533954906327426,0.2533954906327426,0.33234097229427495,0.17936948463117233,0.17936948463117233,0.2143312621414616,0.21999533754153644,0.17033736872427893
tfidf,100,87,5,0.38620362499932526,0.16564100001050974,0.0019039195403506867,0.8758620689655172,0.9632183908045977,0.9724137931034482,0.9885057471264368,0.750328407224959,0.8107553366174056,0.8655227148330596,0.9207243203794928,0.842365798501476,0.12413793103448278,435,0.3297388438036392,0.1882251907168618,0.1637840287867299,0.1065933160401805,0.2870986286873023,0.2626052388360605,0.21961097519178882,0.2195178610049558,0.21998244396858196
tfidf,1000,87,5,0.38620362499932526,0.16564100001050974,0.0019039195403506867,0.7011494252873564,0.8367816091954023,0.8988505747126436,0.9517241379310345,0.5854406130268199,0.6806458675424193,0.756655719759168,0.7826947637292465,0.6903865717787259,0.29885057471264365,435,0.45775420118942245,0.36956480853533025,0.30152648150932587,0.21434855541958694,0.36723642730846195,0.34138051674912034,0.3003772311122894,0.3469293348941729,0.3018412173535171
tfidf,10000,87,5,0.38620362499932526,0.16564100001050974,0.0019039195403506867,0.5264367816091954,0.6367816091954023,0.6666666666666666,0.7218390804597701,0.39991242474001093,0.4407006020799124,0.5096387520525452,0.5907653712826126,0.47615559816206743,0.4735632183908046,435,0.49930060742817817,0.4809270125350792,0.4714045207910317,0.4480930956629031,0.38346165604165866,0.3896840914587491,0.3993019815061456,0.4513351693538852,0.37550917318816157
tfidf,full,87,1,0.38620362499932526,0.16564100001050974,0.0019039195403506867,0.3563218390804598,0.5287356321839081,0.5862068965517241,0.6551724137931034,0.3123700054734537,0.3684181718664477,0.4320197044334975,0.46115672322568874,0.37628962355108814,0.6436781609195402,87,0.47891187714941746,0.4991735804737578,0.4925123054167483,0.47531202593414557,0.3707581417750714,0.3894302376509653,0.39259553390373203,0.4323857599836553,0.3552257385721206
